Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name	docid	chrname	seqid	speciescode	genomefa
Chr6	assembled-molecule	6	Chromosome	CM029893.1	<>	na	Primary Assembly	84757147	na	9678071	chrChr6	CM029893.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr7	assembled-molecule	7	Chromosome	CM029894.1	<>	na	Primary Assembly	70115537	na	9678071	chrChr7	CM029894.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr8	assembled-molecule	8	Chromosome	CM029895.1	<>	na	Primary Assembly	44667958	na	9678071	chrChr8	CM029895.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr9	assembled-molecule	9	Chromosome	CM029896.1	<>	na	Primary Assembly	30254257	na	9678071	chrChr9	CM029896.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr10	assembled-molecule	10	Chromosome	CM029897.1	<>	na	Primary Assembly	29531822	na	9678071	chrChr10	CM029897.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr11	assembled-molecule	11	Chromosome	CM029898.1	<>	na	Primary Assembly	25484755	na	9678071	chrChr11	CM029898.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr12	assembled-molecule	12	Chromosome	CM029899.1	<>	na	Primary Assembly	24828000	na	9678071	chrChr12	CM029899.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr13	assembled-molecule	13	Chromosome	CM029900.1	<>	na	Primary Assembly	23323796	na	9678071	chrChr13	CM029900.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr14	assembled-molecule	14	Chromosome	CM029901.1	<>	na	Primary Assembly	20511837	na	9678071	chrChr14	CM029901.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr15	assembled-molecule	15	Chromosome	CM029902.1	<>	na	Primary Assembly	15495389	na	9678071	chrChr15	CM029902.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr16	assembled-molecule	16	Chromosome	CM029903.1	<>	na	Primary Assembly	15162211	na	9678071	chrChr16	CM029903.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr17	assembled-molecule	17	Chromosome	CM029904.1	<>	na	Primary Assembly	11712724	na	9678071	chrChr17	CM029904.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr18	assembled-molecule	18	Chromosome	CM029905.1	<>	na	Primary Assembly	11438065	na	9678071	chrChr18	CM029905.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr19	assembled-molecule	19	Chromosome	CM029906.1	<>	na	Primary Assembly	10169435	na	9678071	chrChr19	CM029906.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr20	assembled-molecule	20	Chromosome	CM029907.1	<>	na	Primary Assembly	8265307	na	9678071	chrChr20	CM029907.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr21	assembled-molecule	21	Chromosome	CM029908.1	<>	na	Primary Assembly	6617477	na	9678071	chrChr21	CM029908.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr22	assembled-molecule	22	Chromosome	CM029909.1	<>	na	Primary Assembly	6413794	na	9678071	chrChr22	CM029909.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr23	assembled-molecule	23	Chromosome	CM029910.1	<>	na	Primary Assembly	5312113	na	9678071	chrChr23	CM029910.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr24	assembled-molecule	24	Chromosome	CM029911.1	<>	na	Primary Assembly	4817293	na	9678071	chrChr24	CM029911.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr25	assembled-molecule	25	Chromosome	CM029912.1	<>	na	Primary Assembly	2747514	na	9678071	chrChr25	CM029912.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr26	assembled-molecule	26	Chromosome	CM029913.1	<>	na	Primary Assembly	1964735	na	9678071	chrChr26	CM029913.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr27	assembled-molecule	27	Chromosome	CM029914.1	<>	na	Primary Assembly	2203763	na	9678071	chrChr27	CM029914.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr28	assembled-molecule	28	Chromosome	CM029915.1	<>	na	Primary Assembly	436143	na	9678071	chrChr28	CM029915.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
ChrZ	assembled-molecule	Z	Chromosome	CM029916.1	<>	na	Primary Assembly	109009802	na	9678071	chrChrZ	CM029916.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr1	assembled-molecule	1	Chromosome	CM029917.1	<>	na	Primary Assembly	117696736	na	9678061	chrChr1	CM029917.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr2	assembled-molecule	2	Chromosome	CM029918.1	<>	na	Primary Assembly	106141279	na	9678061	chrChr2	CM029918.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr3	assembled-molecule	3	Chromosome	CM029919.1	<>	na	Primary Assembly	98382757	na	9678061	chrChr3	CM029919.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr4	assembled-molecule	4	Chromosome	CM029920.1	<>	na	Primary Assembly	90244086	na	9678061	chrChr4	CM029920.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr5	assembled-molecule	5	Chromosome	CM029921.1	<>	na	Primary Assembly	75716676	na	9678061	chrChr5	CM029921.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr6	assembled-molecule	6	Chromosome	CM029922.1	<>	na	Primary Assembly	74194987	na	9678061	chrChr6	CM029922.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr7	assembled-molecule	7	Chromosome	CM029923.1	<>	na	Primary Assembly	70129270	na	9678061	chrChr7	CM029923.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr8	assembled-molecule	8	Chromosome	CM029924.1	<>	na	Primary Assembly	69699566	na	9678061	chrChr8	CM029924.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr9	assembled-molecule	9	Chromosome	CM029925.1	<>	na	Primary Assembly	69647745	na	9678061	chrChr9	CM029925.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr10	assembled-molecule	10	Chromosome	CM029926.1	<>	na	Primary Assembly	49939422	na	9678061	chrChr10	CM029926.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr11	assembled-molecule	11	Chromosome	CM029927.1	<>	na	Primary Assembly	44144112	na	9678061	chrChr11	CM029927.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr12	assembled-molecule	12	Chromosome	CM029928.1	<>	na	Primary Assembly	41141276	na	9678061	chrChr12	CM029928.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr13	assembled-molecule	13	Chromosome	CM029929.1	<>	na	Primary Assembly	23813181	na	9678061	chrChr13	CM029929.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr14	assembled-molecule	14	Chromosome	CM029930.1	<>	na	Primary Assembly	18932000	na	9678061	chrChr14	CM029930.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr15	assembled-molecule	15	Chromosome	CM029931.1	<>	na	Primary Assembly	12665777	na	9678061	chrChr15	CM029931.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr16	assembled-molecule	16	Chromosome	CM029932.1	<>	na	Primary Assembly	11934268	na	9678061	chrChr16	CM029932.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr17	assembled-molecule	17	Chromosome	CM029933.1	<>	na	Primary Assembly	11822879	na	9678061	chrChr17	CM029933.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr18	assembled-molecule	18	Chromosome	CM029934.1	<>	na	Primary Assembly	8248965	na	9678061	chrChr18	CM029934.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr19	assembled-molecule	19	Chromosome	CM029935.1	<>	na	Primary Assembly	6703000	na	9678061	chrChr19	CM029935.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr20	assembled-molecule	20	Chromosome	CM029936.1	<>	na	Primary Assembly	6482841	na	9678061	chrChr20	CM029936.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr21	assembled-molecule	21	Chromosome	CM029937.1	<>	na	Primary Assembly	5216595	na	9678061	chrChr21	CM029937.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr22	assembled-molecule	22	Chromosome	CM029938.1	<>	na	Primary Assembly	3787736	na	9678061	chrChr22	CM029938.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
Chr23	assembled-molecule	23	Chromosome	CM029939.1	<>	na	Primary Assembly	3782409	na	9678061	chrChr23	CM029939.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
ChrW	assembled-molecule	W	Chromosome	CM029940.1	<>	na	Primary Assembly	13754614	na	9678061	chrChrW	CM029940.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
ChrZ	assembled-molecule	Z	Chromosome	CM029941.1	<>	na	Primary Assembly	108106819	na	9678061	chrChrZ	CM029941.1	MYIMO	GCA_017639245.1_MMon_1.0_genomic.fna
SUPER_1	assembled-molecule	1	Chromosome	CM030145.1	=	NC_054054.1	Primary Assembly	127440759	na	10039711	chrSUPER_1	NC_054054.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_2	assembled-molecule	2	Chromosome	CM030146.1	=	NC_054055.1	Primary Assembly	123266599	na	10039711	chrSUPER_2	NC_054055.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_3	assembled-molecule	3	Chromosome	CM030147.1	=	NC_054056.1	Primary Assembly	121309295	na	10039711	chrSUPER_3	NC_054056.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_4	assembled-molecule	4	Chromosome	CM030148.1	=	NC_054057.1	Primary Assembly	113493826	na	10039711	chrSUPER_4	NC_054057.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_5	assembled-molecule	5	Chromosome	CM030149.1	=	NC_054058.1	Primary Assembly	92799756	na	10039711	chrSUPER_5	NC_054058.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_6	assembled-molecule	6	Chromosome	CM030150.1	=	NC_054059.1	Primary Assembly	91761059	na	10039711	chrSUPER_6	NC_054059.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_7	assembled-molecule	7	Chromosome	CM030151.1	=	NC_054060.1	Primary Assembly	72773804	na	10039711	chrSUPER_7	NC_054060.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_8	assembled-molecule	8	Chromosome	CM030152.1	=	NC_054061.1	Primary Assembly	65292525	na	10039711	chrSUPER_8	NC_054061.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_9	assembled-molecule	9	Chromosome	CM030153.1	=	NC_054062.1	Primary Assembly	53797355	na	10039711	chrSUPER_9	NC_054062.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_10	assembled-molecule	10	Chromosome	CM030154.1	=	NC_054063.1	Primary Assembly	37994407	na	10039711	chrSUPER_10	NC_054063.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_11	assembled-molecule	11	Chromosome	CM030155.1	=	NC_054064.1	Primary Assembly	35657873	na	10039711	chrSUPER_11	NC_054064.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_12	assembled-molecule	12	Chromosome	CM030156.1	=	NC_054065.1	Primary Assembly	33982695	na	10039711	chrSUPER_12	NC_054065.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_13	assembled-molecule	13	Chromosome	CM030157.1	=	NC_054066.1	Primary Assembly	30439962	na	10039711	chrSUPER_13	NC_054066.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_14	assembled-molecule	14	Chromosome	CM030158.1	=	NC_054067.1	Primary Assembly	24024792	na	10039711	chrSUPER_14	NC_054067.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_15	assembled-molecule	15	Chromosome	CM030159.1	=	NC_054068.1	Primary Assembly	23244174	na	10039711	chrSUPER_15	NC_054068.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_16	assembled-molecule	16	Chromosome	CM030160.1	=	NC_054069.1	Primary Assembly	8214878	na	10039711	chrSUPER_16	NC_054069.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_17	assembled-molecule	17	Chromosome	CM030161.1	=	NC_054070.1	Primary Assembly	7799962	na	10039711	chrSUPER_17	NC_054070.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_18	assembled-molecule	18	Chromosome	CM030162.1	=	NC_054071.1	Primary Assembly	6763153	na	10039711	chrSUPER_18	NC_054071.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_19	assembled-molecule	19	Chromosome	CM030163.1	=	NC_054072.1	Primary Assembly	6356591	na	10039711	chrSUPER_19	NC_054072.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_20	assembled-molecule	20	Chromosome	CM030164.1	=	NC_054073.1	Primary Assembly	4296277	na	10039711	chrSUPER_20	NC_054073.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_21	assembled-molecule	21	Chromosome	CM030165.1	=	NC_054074.1	Primary Assembly	784962	na	10039711	chrSUPER_21	NC_054074.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_22	assembled-molecule	22	Chromosome	CM030166.1	=	NC_054075.1	Primary Assembly	1112751	na	10039711	chrSUPER_22	NC_054075.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_23	assembled-molecule	23	Chromosome	CM030167.1	=	NC_054076.1	Primary Assembly	304746	na	10039711	chrSUPER_23	NC_054076.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_24	assembled-molecule	24	Chromosome	CM030168.1	=	NC_054077.1	Primary Assembly	321293	na	10039711	chrSUPER_24	NC_054077.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_25	assembled-molecule	25	Chromosome	CM030169.1	=	NC_054078.1	Primary Assembly	298424	na	10039711	chrSUPER_25	NC_054078.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_W	assembled-molecule	W	Chromosome	CM030170.1	=	NC_054079.1	Primary Assembly	29619203	na	10039711	chrSUPER_W	NC_054079.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_Z	assembled-molecule	Z	Chromosome	CM030171.1	=	NC_054080.1	Primary Assembly	86597978	na	10039711	chrSUPER_Z	NC_054080.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
SUPER_20_unloc_1	unlocalized-scaffold	20	Chromosome	JAGFVS010000050.1	=	NW_024427345.1	Primary Assembly	1470811	na	10039711	chrSUPER_20_unloc_1	NW_024427345.1	FALNA	GCF_017639655.2_bFalNau1.pat_genomic.fna
chrom01_scaffold0002_wholechromosome	assembled-molecule	1	Chromosome	CM019214.1	<>	na	Primary Assembly	125327729	na	5385531	chrchrom01_scaffold0002_wholechromosome	CM019214.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom01A_scaffold0001_wholechromosome	assembled-molecule	1A	Chromosome	CM019237.1	<>	na	Primary Assembly	68113514	na	5385531	chrchrom01A_scaffold0001_wholechromosome	CM019237.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom02_scaffold0003_wholechromosome	assembled-molecule	2	Chromosome	CM019215.1	<>	na	Primary Assembly	163994238	na	5385531	chrchrom02_scaffold0003_wholechromosome	CM019215.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom03_scaffold0004_wholechromosome	assembled-molecule	3	Chromosome	CM019216.1	<>	na	Primary Assembly	108862264	na	5385531	chrchrom03_scaffold0004_wholechromosome	CM019216.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom04_scaffold0006_wholechromosome	assembled-molecule	4	Chromosome	CM019217.1	<>	na	Primary Assembly	72114811	na	5385531	chrchrom04_scaffold0006_wholechromosome	CM019217.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom04A_scaffold0005_wholechromosome	assembled-molecule	4A	Chromosome	CM019238.1	<>	na	Primary Assembly	18590865	na	5385531	chrchrom04A_scaffold0005_wholechromosome	CM019238.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom05_scaffold0007_wholechromosome	assembled-molecule	5	Chromosome	CM019218.1	<>	na	Primary Assembly	54648960	na	5385531	chrchrom05_scaffold0007_wholechromosome	CM019218.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom06_scaffold0008_wholechromosome	assembled-molecule	6	Chromosome	CM019219.1	<>	na	Primary Assembly	33730512	na	5385531	chrchrom06_scaffold0008_wholechromosome	CM019219.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom07_scaffold0009_wholechromosome	assembled-molecule	7	Chromosome	CM019220.1	<>	na	Primary Assembly	35833528	na	5385531	chrchrom07_scaffold0009_wholechromosome	CM019220.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom08_scaffold0010_wholechromosome	assembled-molecule	8	Chromosome	CM019221.1	<>	na	Primary Assembly	30903845	na	5385531	chrchrom08_scaffold0010_wholechromosome	CM019221.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom09_scaffold0011_wholechromosome	assembled-molecule	9	Chromosome	CM019222.1	<>	na	Primary Assembly	24524688	na	5385531	chrchrom09_scaffold0011_wholechromosome	CM019222.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom10_scaffold0012_wholechromosome	assembled-molecule	10	Chromosome	CM019223.1	<>	na	Primary Assembly	20322568	na	5385531	chrchrom10_scaffold0012_wholechromosome	CM019223.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom11_scaffold0013_wholechromosome	assembled-molecule	11	Chromosome	CM019224.1	<>	na	Primary Assembly	19365417	na	5385531	chrchrom11_scaffold0013_wholechromosome	CM019224.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom12_scaffold0014_wholechromosome	assembled-molecule	12	Chromosome	CM019225.1	<>	na	Primary Assembly	21599073	na	5385531	chrchrom12_scaffold0014_wholechromosome	CM019225.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom13_scaffold0015_wholechromosome	assembled-molecule	13	Chromosome	CM019226.1	<>	na	Primary Assembly	19041980	na	5385531	chrchrom13_scaffold0015_wholechromosome	CM019226.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom14_scaffold0016_wholechromosome	assembled-molecule	14	Chromosome	CM019227.1	<>	na	Primary Assembly	19339659	na	5385531	chrchrom14_scaffold0016_wholechromosome	CM019227.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom15_scaffold0017_wholechromosome	assembled-molecule	15	Chromosome	CM019228.1	<>	na	Primary Assembly	14687692	na	5385531	chrchrom15_scaffold0017_wholechromosome	CM019228.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom17_scaffold0018_wholechromosome	assembled-molecule	17	Chromosome	CM019229.1	<>	na	Primary Assembly	12352952	na	5385531	chrchrom17_scaffold0018_wholechromosome	CM019229.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom18_scaffold0019_wholechromosome	assembled-molecule	18	Chromosome	CM019230.1	<>	na	Primary Assembly	12157022	na	5385531	chrchrom18_scaffold0019_wholechromosome	CM019230.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom20_scaffold0020_wholechromosome	assembled-molecule	20	Chromosome	CM019231.1	<>	na	Primary Assembly	14958557	na	5385531	chrchrom20_scaffold0020_wholechromosome	CM019231.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom21_scaffold0021_wholechromosome	assembled-molecule	21	Chromosome	CM019232.1	<>	na	Primary Assembly	5216931	na	5385531	chrchrom21_scaffold0021_wholechromosome	CM019232.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom23_scaffold0022_wholechromosome	assembled-molecule	23	Chromosome	CM019233.1	<>	na	Primary Assembly	3934935	na	5385531	chrchrom23_scaffold0022_wholechromosome	CM019233.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom27_scaffold0023_wholechromosome	assembled-molecule	27	Chromosome	CM019234.1	<>	na	Primary Assembly	2336867	na	5385531	chrchrom27_scaffold0023_wholechromosome	CM019234.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom28_scaffold0024_wholechromosome	assembled-molecule	28	Chromosome	CM019235.1	<>	na	Primary Assembly	3944638	na	5385531	chrchrom28_scaffold0024_wholechromosome	CM019235.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chromZ_scaffold0025_wholechromosome	assembled-molecule	Z	Chromosome	CM019236.1	<>	na	Primary Assembly	68919493	na	5385531	chrchromZ_scaffold0025_wholechromosome	CM019236.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom01A_scaffold0054_unplaced	unlocalized-scaffold	1A	Chromosome	VKON01000054.1	<>	na	Primary Assembly	1163630	na	5385531	chrchrom01A_scaffold0054_unplaced	VKON01000054.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom04A_scaffold0101_unplaced	unlocalized-scaffold	4A	Chromosome	VKON01000101.1	<>	na	Primary Assembly	1261513	na	5385531	chrchrom04A_scaffold0101_unplaced	VKON01000101.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom05_scaffold0103_unplaced	unlocalized-scaffold	5	Chromosome	VKON01000103.1	<>	na	Primary Assembly	3305175	na	5385531	chrchrom05_scaffold0103_unplaced	VKON01000103.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chrom21_scaffold0159_unplaced	unlocalized-scaffold	21	Chromosome	VKON01000159.1	<>	na	Primary Assembly	1160757	na	5385531	chrchrom21_scaffold0159_unplaced	VKON01000159.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chromUnkn_scaffold1144_unplaced	unplaced-scaffold	na	na	VKON01001144.1	<>	na	Primary Assembly	2344510	na	5385531	chrchromUnkn_scaffold1144_unplaced	VKON01001144.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chromUnkn_scaffold1394_unplaced	unplaced-scaffold	na	na	VKON01001394.1	<>	na	Primary Assembly	1173993	na	5385531	chrchromUnkn_scaffold1394_unplaced	VKON01001394.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
chromUnkn_scaffold2658_unplaced	unplaced-scaffold	na	na	VKON01002658.1	<>	na	Primary Assembly	1713874	na	5385531	chrchromUnkn_scaffold2658_unplaced	VKON01002658.1	MALCY	GCA_009741485.1_mCya_1.0_genomic.fna
1	assembled-molecule	1	Chromosome	CM027945.1	<>	na	Primary Assembly	216272475	na	8871851	chr1	CM027945.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
2	assembled-molecule	2	Chromosome	CM027946.1	<>	na	Primary Assembly	165000027	na	8871851	chr2	CM027946.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
3	assembled-molecule	3	Chromosome	CM027947.1	<>	na	Primary Assembly	129390489	na	8871851	chr3	CM027947.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
4	assembled-molecule	4	Chromosome	CM027948.1	<>	na	Primary Assembly	84451203	na	8871851	chr4	CM027948.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
5	assembled-molecule	5	Chromosome	CM027949.1	<>	na	Primary Assembly	72167472	na	8871851	chr5	CM027949.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
6	assembled-molecule	6	Chromosome	CM027950.1	<>	na	Primary Assembly	42478111	na	8871851	chr6	CM027950.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
7	assembled-molecule	7	Chromosome	CM027951.1	<>	na	Primary Assembly	45385597	na	8871851	chr7	CM027951.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
8	assembled-molecule	8	Chromosome	CM027952.1	<>	na	Primary Assembly	37329370	na	8871851	chr8	CM027952.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
9	assembled-molecule	9	Chromosome	CM027953.1	<>	na	Primary Assembly	31519428	na	8871851	chr9	CM027953.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
10	assembled-molecule	10	Chromosome	CM027954.1	<>	na	Primary Assembly	25660581	na	8871851	chr10	CM027954.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
11	assembled-molecule	11	Chromosome	CM027955.1	<>	na	Primary Assembly	25096210	na	8871851	chr11	CM027955.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
12	assembled-molecule	12	Chromosome	CM027956.1	<>	na	Primary Assembly	26098356	na	8871851	chr12	CM027956.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
13	assembled-molecule	13	Chromosome	CM027957.1	<>	na	Primary Assembly	23196095	na	8871851	chr13	CM027957.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
14	assembled-molecule	14	Chromosome	CM027958.1	<>	na	Primary Assembly	21258579	na	8871851	chr14	CM027958.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
15	assembled-molecule	15	Chromosome	CM027959.1	<>	na	Primary Assembly	17715720	na	8871851	chr15	CM027959.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
17	assembled-molecule	17	Chromosome	CM027960.1	<>	na	Primary Assembly	13331648	na	8871851	chr17	CM027960.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
18	assembled-molecule	18	Chromosome	CM027961.1	<>	na	Primary Assembly	14766229	na	8871851	chr18	CM027961.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
19	assembled-molecule	19	Chromosome	CM027962.1	<>	na	Primary Assembly	13299004	na	8871851	chr19	CM027962.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
20	assembled-molecule	20	Chromosome	CM027963.1	<>	na	Primary Assembly	18556269	na	8871851	chr20	CM027963.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
21	assembled-molecule	21	Chromosome	CM027964.1	<>	na	Primary Assembly	10049533	na	8871851	chr21	CM027964.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
22	assembled-molecule	22	Chromosome	CM027965.1	<>	na	Primary Assembly	5568188	na	8871851	chr22	CM027965.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
23	assembled-molecule	23	Chromosome	CM027966.1	<>	na	Primary Assembly	8892990	na	8871851	chr23	CM027966.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
24	assembled-molecule	24	Chromosome	CM027967.1	<>	na	Primary Assembly	8478814	na	8871851	chr24	CM027967.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
25	assembled-molecule	25	Chromosome	CM027968.1	<>	na	Primary Assembly	3435794	na	8871851	chr25	CM027968.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
26	assembled-molecule	26	Chromosome	CM027969.1	<>	na	Primary Assembly	7517663	na	8871851	chr26	CM027969.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
